营火,campfire
石头营火,firepit
冷火,coldfire
石头冷火,coldfirepit
锅,cookpot
冰箱,icebox
寒冰温度计,winterometer
雨量计,rainometer
一般农田,slow_farmplot
高级农田,fast_farmplot
午睡小屋,siestahut
帐篷,tent
路牌,homesign
鸟笼,birdcage
晾肉架,meatrack
避雷针,lightning_rod
盆栽,pottedfern
暗夜照明灯,nightlight
影灯,nightmarelight
科学机器,researchlab
炼金术引擎,researchlab2
阴影操纵者,researchlab3
灵子分解器,researchlab4
木箱,treasurechest
骷髅箱,skullchest
华丽的箱子,pandoraschest
大华丽的箱子,minotaurchest
蜻蜓箱子,dragonflychest
草墙,wall_hay_item
木墙,wall_wood_item
石墙,wall_stone_item
铥墙,wall_ruins_item
地上的草墙,wall_hay
地上的木墙,wall_wood
地上的石墙,wall_stone
地上的铥墙,wall_ruins
猪房,pighouse
兔房,rabbithole
鱼人房,mermhouse
肉块雕像,resurrectionstatue
重生石,resurrectionstone
远古祭坛,ancient_altar
损坏的远古祭坛,ancient_altar_broken 
传送核心,telebase
宝石看台,gemsocket
固定在地上的眼睛炮塔,eyeturret
可带走的眼睛炮塔,eyeturret_item
洞穴出口,cave_exit
木地板,turf_woodfloor
地毯地板,turf_carpetfloor
棋盘地板,turf_checkerfloor
冒险之门,adventure_portal
火山坑,rock_light
墓碑,gravestone
坟墓土堆,mound
人骨,skeleton
狗骨头,houndbone
动物足迹,animal_track
可疑的土堆,dirtpile
池塘,pond
洞穴池塘,pond_cave
猪头棍,pighead
鱼头棍,mermhead
猪火炬,pigtorch
兔子洞,rabbithole
蜂箱,beebox
野生蜂窝,beehive
杀人蜂窝,wasphive
洞穴蜘蛛洞,spiderhole
海象窝,walrus_camp
高鸟窝,tallbirdnest
猎犬丘,houndmound
蜗牛窝,slurtlehole
蝙蝠洞,batcave
猴子桶,monkeybarrel
蜘蛛巢穴,spiderden
鼹鼠丘,molehill
浣熊洞,catcoonden
带硝石的岩石,rock1
带黄金的岩石,rock2
只有石头的岩石,rock_flintless
大圆洞穴石头,stalagmite_full
中圆洞穴石头,stalagmite_med
小圆洞穴石头,stalagmite_low
大高洞穴石头,stalagmite_tall_full
中高洞穴石头,stalagmite_tall_med
小高洞穴石头,stalagmite_tall_low
冰石,rock_ice
远古头像,ruins_statue_head
远古法师雕像,ruins_statue_mage
大理石柱子,marblepillar
大理石树,marbletree
竖琴雕像,statueharp
玄武岩,basalt
高玄武岩,basalt_pillar
猪王矮柱石,insanityrock
猪王高柱石,sanityrock
远古椅子,ruins_chair
远古花瓶,ruins_vase
远古桌子,ruins_table
麦斯威尔雕像,statuemaxwell
格罗门雕像,statueglommer
废墟,relic
损毁的废墟,ruins_rubble
损坏的雕像,bishop_nightmare
损坏的战车,rook_nightmare
损坏的骑士,knight_nightmare
损坏的机械1,chessjunk1
损坏的机械2,chessjunk2
损坏的机械3,chessjunk3
环状传送机零件,teleportato_ring
盒状传送机零件,teleportato_box
曲柄状传送机零件,teleportato_crank
球状传送机零件,teleportato_potato
传送机零件底座,teleportato_base
传送机零件底座,teleportato_checkmate
虫洞,wormhole
被限制的虫洞,wormhole_limited_1
小星星,stafflight
箱子陷阱,treasurechest_trap
冰包,icepack
